"CustID","Churn (0/1)","RFM-Score","P[B]","RFM Resp Prob"
1,1,15,0.8,0.501841868823001
2,1,15,0.666666666666667,0.501841868823001
3,1,15,0.714285714285714,0.501841868823001
4,1,15,0.75,0.501841868823001
5,0,15,0.666666666666667,0.501841868823001
8,0,15,0.666666666666667,0.501841868823001
9,1,15,0.666666666666667,0.501841868823001
13,1,15,0.555555555555556,0.501841868823001
14,0,15,0.444444444444444,0.501841868823001
17,1,15,0.555555555555556,0.501841868823001
18,1,15,0.666666666666667,0.501841868823001
31,0,15,0.666666666666667,0.501841868823001
35,0,15,0.666666666666667,0.501841868823001
36,1,15,0.666666666666667,0.501841868823001
37,1,15,0.555555555555556,0.501841868823001
39,1,15,0.555555555555556,0.501841868823001
41,1,15,0.555555555555556,0.501841868823001
47,0,15,0.555555555555556,0.501841868823001
51,0,15,0.555555555555556,0.501841868823001
52,1,15,0.444444444444444,0.501841868823001
54,0,15,0.333333333333333,0.501841868823001
59,0,15,0.333333333333333,0.501841868823001
62,1,15,0.333333333333333,0.501841868823001
63,0,15,0.333333333333333,0.501841868823001
70,0,15,0.222222222222222,0.501841868823001
102,1,15,0.333333333333333,0.501841868823001
107,0,15,0.333333333333333,0.501841868823001
110,0,15,0.222222222222222,0.501841868823001
115,0,15,0.222222222222222,0.501841868823001
120,1,15,0.222222222222222,0.501841868823001
132,0,15,0.222222222222222,0.501841868823001
135,0,15,0.333333333333333,0.501841868823001
138,0,15,0.333333333333333,0.501841868823001
141,0,15,0.444444444444444,0.501841868823001
501,1,15,0.444444444444444,0.501841868823001
503,1,15,0.444444444444444,0.501841868823001
504,0,15,0.555555555555556,0.501841868823001
505,1,15,0.666666666666667,0.501841868823001
506,1,15,0.666666666666667,0.501841868823001
508,0,15,0.555555555555556,0.501841868823001
509,1,15,0.555555555555556,0.501841868823001
510,1,15,0.666666666666667,0.501841868823001
512,0,15,0.666666666666667,0.501841868823001
513,0,15,0.555555555555556,0.501841868823001
521,1,15,0.666666666666667,0.501841868823001
522,1,15,0.555555555555556,0.501841868823001
524,1,15,0.444444444444444,0.501841868823001
528,0,15,0.555555555555556,0.501841868823001
539,1,15,0.555555555555556,0.501841868823001
542,0,15,0.444444444444444,0.501841868823001
545,0,15,0.333333333333333,0.501841868823001
549,1,15,0.333333333333333,0.501841868823001
566,0,15,0.333333333333333,0.501841868823001
66,0,14,0.333333333333333,0.425925925925926
97,0,14,0.333333333333333,0.425925925925926
507,1,14,0.444444444444444,0.425925925925926
514,0,14,0.444444444444444,0.425925925925926
519,1,14,0.444444444444444,0.425925925925926
560,0,14,0.555555555555556,0.425925925925926
7,1,13,0.666666666666667,0.480725623582766
10,1,13,0.666666666666667,0.480725623582766
11,0,13,0.666666666666667,0.480725623582766
15,1,13,0.666666666666667,0.480725623582766
16,1,13,0.777777777777778,0.480725623582766
19,1,13,0.666666666666667,0.480725623582766
22,0,13,0.555555555555556,0.480725623582766
23,1,13,0.666666666666667,0.480725623582766
24,1,13,0.555555555555556,0.480725623582766
25,0,13,0.555555555555556,0.480725623582766
26,0,13,0.555555555555556,0.480725623582766
28,1,13,0.666666666666667,0.480725623582766
30,0,13,0.555555555555556,0.480725623582766
32,1,13,0.555555555555556,0.480725623582766
33,1,13,0.555555555555556,0.480725623582766
34,1,13,0.666666666666667,0.480725623582766
42,0,13,0.666666666666667,0.480725623582766
43,1,13,0.666666666666667,0.480725623582766
44,0,13,0.666666666666667,0.480725623582766
45,1,13,0.666666666666667,0.480725623582766
46,1,13,0.666666666666667,0.480725623582766
53,0,13,0.666666666666667,0.480725623582766
56,1,13,0.666666666666667,0.480725623582766
57,1,13,0.777777777777778,0.480725623582766
58,1,13,0.666666666666667,0.480725623582766
61,0,13,0.666666666666667,0.480725623582766
73,1,13,0.777777777777778,0.480725623582766
85,1,13,0.777777777777778,0.480725623582766
86,0,13,0.666666666666667,0.480725623582766
90,1,13,0.555555555555556,0.480725623582766
98,1,13,0.555555555555556,0.480725623582766
101,1,13,0.444444444444444,0.480725623582766
103,0,13,0.333333333333333,0.480725623582766
104,0,13,0.444444444444444,0.480725623582766
105,0,13,0.444444444444444,0.480725623582766
106,0,13,0.333333333333333,0.480725623582766
112,0,13,0.222222222222222,0.480725623582766
114,1,13,0.333333333333333,0.480725623582766
117,1,13,0.444444444444444,0.480725623582766
118,0,13,0.444444444444444,0.480725623582766
119,0,13,0.555555555555556,0.480725623582766
123,1,13,0.666666666666667,0.480725623582766
124,1,13,0.555555555555556,0.480725623582766
126,0,13,0.444444444444444,0.480725623582766
127,1,13,0.555555555555556,0.480725623582766
129,1,13,0.555555555555556,0.480725623582766
137,0,13,0.444444444444444,0.480725623582766
142,0,13,0.333333333333333,0.480725623582766
151,1,13,0.444444444444444,0.480725623582766
153,0,13,0.444444444444444,0.480725623582766
184,0,13,0.333333333333333,0.480725623582766
189,0,13,0.333333333333333,0.480725623582766
196,1,13,0.333333333333333,0.480725623582766
197,1,13,0.222222222222222,0.480725623582766
200,0,13,0.222222222222222,0.480725623582766
208,0,13,0.333333333333333,0.480725623582766
234,0,13,0.333333333333333,0.480725623582766
236,0,13,0.222222222222222,0.480725623582766
240,0,13,0.222222222222222,0.480725623582766
241,1,13,0.333333333333333,0.480725623582766
248,0,13,0.444444444444444,0.480725623582766
252,0,13,0.555555555555556,0.480725623582766
502,1,13,0.666666666666667,0.480725623582766
515,1,13,0.666666666666667,0.480725623582766
518,1,13,0.666666666666667,0.480725623582766
520,1,13,0.666666666666667,0.480725623582766
523,1,13,0.777777777777778,0.480725623582766
525,0,13,0.666666666666667,0.480725623582766
527,1,13,0.555555555555556,0.480725623582766
529,0,13,0.555555555555556,0.480725623582766
530,1,13,0.555555555555556,0.480725623582766
533,0,13,0.555555555555556,0.480725623582766
535,0,13,0.666666666666667,0.480725623582766
537,1,13,0.555555555555556,0.480725623582766
538,1,13,0.666666666666667,0.480725623582766
541,1,13,0.666666666666667,0.480725623582766
543,1,13,0.666666666666667,0.480725623582766
547,0,13,0.777777777777778,0.480725623582766
552,1,13,0.666666666666667,0.480725623582766
561,1,13,0.555555555555556,0.480725623582766
562,0,13,0.444444444444444,0.480725623582766
563,1,13,0.333333333333333,0.480725623582766
564,0,13,0.333333333333333,0.480725623582766
565,0,13,0.222222222222222,0.480725623582766
568,0,13,0.222222222222222,0.480725623582766
570,0,13,0.222222222222222,0.480725623582766
571,0,13,0.111111111111111,0.480725623582766
578,0,13,0.111111111111111,0.480725623582766
594,1,13,0.111111111111111,0.480725623582766
595,0,13,0.111111111111111,0.480725623582766
606,0,13,0.111111111111111,0.480725623582766
607,0,13,0.111111111111111,0.480725623582766
608,0,13,0.111111111111111,0.480725623582766
627,0,13,0.111111111111111,0.480725623582766
629,0,13,0.111111111111111,0.480725623582766
630,0,13,0.111111111111111,0.480725623582766
631,0,13,0.111111111111111,0.480725623582766
640,1,13,0.111111111111111,0.480725623582766
60,0,12,0.111111111111111,0.213213213213213
95,0,12,0.111111111111111,0.213213213213213
108,0,12,0.111111111111111,0.213213213213213
116,0,12,0.111111111111111,0.213213213213213
176,0,12,0,0.213213213213213
185,0,12,0,0.213213213213213
186,0,12,0.111111111111111,0.213213213213213
194,0,12,0.111111111111111,0.213213213213213
205,0,12,0.222222222222222,0.213213213213213
242,0,12,0.222222222222222,0.213213213213213
244,1,12,0.222222222222222,0.213213213213213
247,0,12,0.333333333333333,0.213213213213213
253,1,12,0.333333333333333,0.213213213213213
255,0,12,0.333333333333333,0.213213213213213
260,0,12,0.333333333333333,0.213213213213213
262,1,12,0.222222222222222,0.213213213213213
268,0,12,0.222222222222222,0.213213213213213
277,0,12,0.111111111111111,0.213213213213213
279,0,12,0.222222222222222,0.213213213213213
280,0,12,0.222222222222222,0.213213213213213
281,0,12,0.222222222222222,0.213213213213213
313,0,12,0.222222222222222,0.213213213213213
319,1,12,0.333333333333333,0.213213213213213
321,0,12,0.333333333333333,0.213213213213213
324,1,12,0.333333333333333,0.213213213213213
328,0,12,0.333333333333333,0.213213213213213
517,1,12,0.333333333333333,0.213213213213213
592,0,12,0.222222222222222,0.213213213213213
596,0,12,0.222222222222222,0.213213213213213
600,0,12,0.222222222222222,0.213213213213213
604,0,12,0.222222222222222,0.213213213213213
634,0,12,0.111111111111111,0.213213213213213
636,0,12,0.111111111111111,0.213213213213213
641,1,12,0.111111111111111,0.213213213213213
650,0,12,0.222222222222222,0.213213213213213
658,0,12,0.333333333333333,0.213213213213213
664,0,12,0.333333333333333,0.213213213213213
12,0,11,0.444444444444444,0.263759086188993
20,1,11,0.444444444444444,0.263759086188993
21,1,11,0.555555555555556,0.263759086188993
27,0,11,0.666666666666667,0.263759086188993
29,1,11,0.777777777777778,0.263759086188993
38,1,11,0.888888888888889,0.263759086188993
40,1,11,0.888888888888889,0.263759086188993
55,1,11,0.777777777777778,0.263759086188993
64,1,11,0.777777777777778,0.263759086188993
65,1,11,0.666666666666667,0.263759086188993
67,1,11,0.666666666666667,0.263759086188993
69,0,11,0.666666666666667,0.263759086188993
71,0,11,0.555555555555556,0.263759086188993
72,0,11,0.444444444444444,0.263759086188993
77,1,11,0.333333333333333,0.263759086188993
81,1,11,0.222222222222222,0.263759086188993
82,0,11,0.333333333333333,0.263759086188993
83,0,11,0.333333333333333,0.263759086188993
84,0,11,0.444444444444444,0.263759086188993
96,0,11,0.333333333333333,0.263759086188993
100,1,11,0.333333333333333,0.263759086188993
109,0,11,0.444444444444444,0.263759086188993
111,1,11,0.444444444444444,0.263759086188993
113,0,11,0.444444444444444,0.263759086188993
121,1,11,0.444444444444444,0.263759086188993
122,1,11,0.333333333333333,0.263759086188993
125,0,11,0.333333333333333,0.263759086188993
128,0,11,0.222222222222222,0.263759086188993
131,0,11,0.222222222222222,0.263759086188993
134,0,11,0.222222222222222,0.263759086188993
136,0,11,0.222222222222222,0.263759086188993
139,0,11,0.222222222222222,0.263759086188993
152,0,11,0.222222222222222,0.263759086188993
178,1,11,0.222222222222222,0.263759086188993
179,1,11,0.333333333333333,0.263759086188993
180,0,11,0.333333333333333,0.263759086188993
183,0,11,0.333333333333333,0.263759086188993
187,0,11,0.333333333333333,0.263759086188993
190,1,11,0.222222222222222,0.263759086188993
191,0,11,0.111111111111111,0.263759086188993
192,0,11,0.111111111111111,0.263759086188993
193,0,11,0.111111111111111,0.263759086188993
198,0,11,0.111111111111111,0.263759086188993
201,0,11,0,0.263759086188993
202,0,11,0,0.263759086188993
204,0,11,0,0.263759086188993
239,0,11,0.111111111111111,0.263759086188993
246,0,11,0.111111111111111,0.263759086188993
256,0,11,0.111111111111111,0.263759086188993
257,0,11,0.111111111111111,0.263759086188993
264,1,11,0.111111111111111,0.263759086188993
265,0,11,0.111111111111111,0.263759086188993
269,0,11,0.111111111111111,0.263759086188993
271,0,11,0.111111111111111,0.263759086188993
274,0,11,0.111111111111111,0.263759086188993
275,0,11,0,0.263759086188993
292,0,11,0.111111111111111,0.263759086188993
296,0,11,0.111111111111111,0.263759086188993
304,0,11,0.111111111111111,0.263759086188993
307,0,11,0.111111111111111,0.263759086188993
322,1,11,0.111111111111111,0.263759086188993
342,0,11,0.111111111111111,0.263759086188993
360,0,11,0.111111111111111,0.263759086188993
364,0,11,0.111111111111111,0.263759086188993
367,0,11,0.111111111111111,0.263759086188993
396,0,11,0,0.263759086188993
399,0,11,0,0.263759086188993
403,0,11,0,0.263759086188993
439,0,11,0,0.263759086188993
440,0,11,0,0.263759086188993
445,0,11,0.111111111111111,0.263759086188993
449,0,11,0.222222222222222,0.263759086188993
516,0,11,0.222222222222222,0.263759086188993
526,0,11,0.333333333333333,0.263759086188993
531,1,11,0.333333333333333,0.263759086188993
532,1,11,0.444444444444444,0.263759086188993
534,0,11,0.555555555555556,0.263759086188993
536,1,11,0.555555555555556,0.263759086188993
548,0,11,0.555555555555556,0.263759086188993
550,1,11,0.444444444444444,0.263759086188993
553,1,11,0.333333333333333,0.263759086188993
554,0,11,0.333333333333333,0.263759086188993
555,0,11,0.333333333333333,0.263759086188993
557,0,11,0.444444444444444,0.263759086188993
558,0,11,0.333333333333333,0.263759086188993
567,0,11,0.222222222222222,0.263759086188993
569,1,11,0.222222222222222,0.263759086188993
576,1,11,0.222222222222222,0.263759086188993
580,0,11,0.222222222222222,0.263759086188993
593,0,11,0.222222222222222,0.263759086188993
598,0,11,0.222222222222222,0.263759086188993
599,0,11,0.111111111111111,0.263759086188993
602,0,11,0,0.263759086188993
621,0,11,0,0.263759086188993
626,0,11,0,0.263759086188993
637,0,11,0.111111111111111,0.263759086188993
642,0,11,0.111111111111111,0.263759086188993
644,0,11,0.111111111111111,0.263759086188993
656,0,11,0.111111111111111,0.263759086188993
670,1,11,0.111111111111111,0.263759086188993
671,0,11,0.111111111111111,0.263759086188993
673,0,11,0.222222222222222,0.263759086188993
674,0,11,0.222222222222222,0.263759086188993
675,0,11,0.222222222222222,0.263759086188993
678,0,11,0.111111111111111,0.263759086188993
681,1,11,0.111111111111111,0.263759086188993
720,0,11,0.111111111111111,0.263759086188993
199,0,10,0.111111111111111,0.117117117117117
206,0,10,0.111111111111111,0.117117117117117
209,0,10,0.111111111111111,0.117117117117117
235,0,10,0.111111111111111,0.117117117117117
258,0,10,0.111111111111111,0.117117117117117
283,0,10,0.111111111111111,0.117117117117117
285,0,10,0.111111111111111,0.117117117117117
289,1,10,0.111111111111111,0.117117117117117
294,0,10,0.222222222222222,0.117117117117117
295,0,10,0.222222222222222,0.117117117117117
297,0,10,0.222222222222222,0.117117117117117
305,0,10,0.222222222222222,0.117117117117117
306,1,10,0.222222222222222,0.117117117117117
311,0,10,0.222222222222222,0.117117117117117
320,0,10,0.222222222222222,0.117117117117117
331,0,10,0.222222222222222,0.117117117117117
334,1,10,0.222222222222222,0.117117117117117
338,0,10,0.111111111111111,0.117117117117117
343,0,10,0.111111111111111,0.117117117117117
353,0,10,0.111111111111111,0.117117117117117
361,0,10,0.111111111111111,0.117117117117117
365,0,10,0,0.117117117117117
377,0,10,0,0.117117117117117
386,0,10,0,0.117117117117117
390,0,10,0.111111111111111,0.117117117117117
405,0,10,0.111111111111111,0.117117117117117
428,0,10,0.111111111111111,0.117117117117117
559,0,10,0.111111111111111,0.117117117117117
577,1,10,0.111111111111111,0.117117117117117
579,0,10,0.111111111111111,0.117117117117117
624,0,10,0.111111111111111,0.117117117117117
638,0,10,0.111111111111111,0.117117117117117
643,0,10,0.111111111111111,0.117117117117117
660,0,10,0,0.117117117117117
661,0,10,0,0.117117117117117
679,0,10,0,0.117117117117117
687,0,10,0,0.117117117117117
6,0,9,0,0.244444444444444
48,0,9,0,0.244444444444444
49,0,9,0.111111111111111,0.244444444444444
50,0,9,0.222222222222222,0.244444444444444
68,0,9,0.222222222222222,0.244444444444444
74,0,9,0.222222222222222,0.244444444444444
75,1,9,0.222222222222222,0.244444444444444
76,1,9,0.333333333333333,0.244444444444444
78,0,9,0.444444444444444,0.244444444444444
79,0,9,0.444444444444444,0.244444444444444
80,0,9,0.444444444444444,0.244444444444444
99,1,9,0.333333333333333,0.244444444444444
130,1,9,0.222222222222222,0.244444444444444
133,0,9,0.333333333333333,0.244444444444444
140,0,9,0.333333333333333,0.244444444444444
143,0,9,0.333333333333333,0.244444444444444
